disease,county,year,count
Diphtheria,San Benito,2014,0
Diphtheria,San Benito,2015,0
Diphtheria,San Benito,2016,0
Diphtheria,San Benito,2017,0
Diphtheria,San Benito,2018,0
Diphtheria,San Bernardino,2001,0
Diphtheria,San Bernardino,2002,0
Diphtheria,San Bernardino,2003,0
Diphtheria,San Bernardino,2004,0
Diphtheria,San Bernardino,2005,0
Diphtheria,San Bernardino,2006,0
Diphtheria,San Bernardino,2007,0
Diphtheria,San Bernardino,2008,0
Diphtheria,San Bernardino,2009,0
Diphtheria,San Bernardino,2010,0
Diphtheria,San Bernardino,2011,0
Diphtheria,San Bernardino,2012,0
Diphtheria,San Bernardino,2013,0
Diphtheria,San Bernardino,2014,0
Diphtheria,San Bernardino,2015,0
Diphtheria,San Bernardino,2016,0
Diphtheria,San Bernardino,2017,0
Diphtheria,San Bernardino,2018,0
Diphtheria,San Diego,2001,0
Diphtheria,San Diego,2002,0
Diphtheria,San Diego,2003,0
Diphtheria,San Diego,2004,0
Diphtheria,San Diego,2005,0
Diphtheria,San Diego,2006,0
Diphtheria,San Diego,2007,0
Diphtheria,San Diego,2008,0
Diphtheria,San Diego,2009,0
Diphtheria,San Diego,2010,0
Diphtheria,San Diego,2011,0
Diphtheria,San Diego,2012,0
Diphtheria,San Diego,2013,0
Diphtheria,San Diego,2014,0
Diphtheria,San Diego,2015,0
Diphtheria,San Diego,2016,0
Diphtheria,San Diego,2017,0
Diphtheria,San Diego,2018,0
Diphtheria,San Francisco,2001,0
Diphtheria,San Francisco,2002,0
Diphtheria,San Francisco,2003,0
Diphtheria,San Francisco,2004,0
Diphtheria,San Francisco,2005,0
Diphtheria,San Francisco,2006,0
Diphtheria,San Francisco,2007,0
Diphtheria,San Francisco,2008,0
Diphtheria,San Francisco,2009,0
Diphtheria,San Francisco,2010,0
Diphtheria,San Francisco,2011,0
Diphtheria,San Francisco,2012,0
Diphtheria,San Francisco,2013,0
Diphtheria,San Francisco,2014,0
Diphtheria,San Francisco,2015,0
Diphtheria,San Francisco,2016,0
Diphtheria,San Francisco,2017,0
Diphtheria,San Francisco,2018,0
Diphtheria,San Joaquin,2001,0
Diphtheria,San Joaquin,2002,0
Diphtheria,San Joaquin,2003,0
Diphtheria,San Joaquin,2004,0
Diphtheria,San Joaquin,2005,0
Diphtheria,San Joaquin,2006,0
Diphtheria,San Joaquin,2007,0
Diphtheria,San Joaquin,2008,0
Diphtheria,San Joaquin,2009,0
Diphtheria,San Joaquin,2010,0
Diphtheria,San Joaquin,2011,0
Diphtheria,San Joaquin,2012,0
Diphtheria,San Joaquin,2013,0
Diphtheria,San Joaquin,2014,0
Diphtheria,San Joaquin,2015,0
Diphtheria,San Joaquin,2016,0
Diphtheria,San Joaquin,2017,0
Diphtheria,San Joaquin,2018,0
Diphtheria,San Luis Obispo,2001,0
Diphtheria,San Luis Obispo,2002,0
Diphtheria,San Luis Obispo,2003,0
Diphtheria,San Luis Obispo,2004,0
Diphtheria,San Luis Obispo,2005,0
Diphtheria,San Luis Obispo,2006,0
Diphtheria,San Luis Obispo,2007,0
Diphtheria,San Luis Obispo,2008,0
Diphtheria,San Luis Obispo,2009,0
Diphtheria,San Luis Obispo,2010,0
Diphtheria,San Luis Obispo,2011,0
Diphtheria,San Luis Obispo,2012,0
Diphtheria,San Luis Obispo,2013,0
Diphtheria,San Luis Obispo,2014,0
Diphtheria,San Luis Obispo,2015,0
Diphtheria,San Luis Obispo,2016,0
Diphtheria,San Luis Obispo,2017,0
Diphtheria,San Luis Obispo,2018,0
Diphtheria,San Mateo,2001,0
Diphtheria,San Mateo,2002,0
Diphtheria,San Mateo,2003,0
Diphtheria,San Mateo,2004,0
Diphtheria,San Mateo,2005,0
Diphtheria,San Mateo,2006,0
Diphtheria,San Mateo,2007,0
Diphtheria,San Mateo,2008,0
Diphtheria,San Mateo,2009,0
Diphtheria,San Mateo,2010,0
Diphtheria,San Mateo,2011,0
Diphtheria,San Mateo,2012,0
Diphtheria,San Mateo,2013,0
Diphtheria,San Mateo,2014,0
Diphtheria,San Mateo,2015,0
Diphtheria,San Mateo,2016,0
Diphtheria,San Mateo,2017,0
Diphtheria,San Mateo,2018,0
Diphtheria,Santa Barbara,2001,0
Diphtheria,Santa Barbara,2002,0
Diphtheria,Santa Barbara,2003,0
Diphtheria,Santa Barbara,2004,0
Diphtheria,Santa Barbara,2005,0
Diphtheria,Santa Barbara,2006,0
Diphtheria,Santa Barbara,2007,0
Diphtheria,Santa Barbara,2008,0
Diphtheria,Santa Barbara,2009,0
Diphtheria,Santa Barbara,2010,0
Diphtheria,Santa Barbara,2011,0
Diphtheria,Santa Barbara,2012,0
Diphtheria,Santa Barbara,2013,0
Diphtheria,Santa Barbara,2014,0
Diphtheria,Santa Barbara,2015,0
Diphtheria,Santa Barbara,2016,0
Diphtheria,Santa Barbara,2017,0
Diphtheria,Santa Barbara,2018,0
Diphtheria,Santa Clara,2001,0
Diphtheria,Santa Clara,2002,0
Diphtheria,Santa Clara,2003,0
Diphtheria,Santa Clara,2004,0
Diphtheria,Santa Clara,2005,0
Diphtheria,Santa Clara,2006,0
Diphtheria,Santa Clara,2007,0
Diphtheria,Santa Clara,2008,0
Diphtheria,Santa Clara,2009,0
Diphtheria,Santa Clara,2010,0
Diphtheria,Santa Clara,2011,0
Diphtheria,Santa Clara,2012,0
Diphtheria,Santa Clara,2013,0
Diphtheria,Santa Clara,2014,0
Diphtheria,Santa Clara,2015,0
Diphtheria,Santa Clara,2016,0
Diphtheria,Santa Clara,2017,0
Diphtheria,Santa Clara,2018,0
Diphtheria,Santa Cruz,2001,0
Diphtheria,Santa Cruz,2002,0
Diphtheria,Santa Cruz,2003,0
Diphtheria,Santa Cruz,2004,0
Diphtheria,Santa Cruz,2005,0
Diphtheria,Santa Cruz,2006,0
Diphtheria,Santa Cruz,2007,0
Diphtheria,Santa Cruz,2008,0
Diphtheria,Santa Cruz,2009,0
Diphtheria,Santa Cruz,2010,0
Diphtheria,Santa Cruz,2011,0
Diphtheria,Santa Cruz,2012,0
Diphtheria,Santa Cruz,2013,0
Diphtheria,Santa Cruz,2014,0
Diphtheria,Santa Cruz,2015,0
Diphtheria,Santa Cruz,2016,0
